starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 26 14:07:37 2024	1711476457	0	154	154	153
Tue Mar 26 14:07:37 2024	1711476457	0	310	310	310
Tue Mar 26 14:07:40 2024	1711476460	0	418	418	417
Tue Mar 26 14:07:38 2024	1711476458	0	695	695	695
Tue Mar 26 14:07:38 2024	1711476458	0	818	818	817
Tue Mar 26 14:07:39 2024	1711476459	0	1036	1037	1036
Tue Mar 26 14:07:39 2024	1711476459	0	1514	1514	1514
Tue Mar 26 14:07:36 2024	1711476456	0	1582	1583	1582
Tue Mar 26 14:07:38 2024	1711476458	0	1630	1630	1629
Tue Mar 26 14:07:41 2024	1711476461	0	1841	1841	1841
